shells b/t p1/p2	p1/vac	p2/vac	# of integrals
               5	     5	     7	           444
               5	     6	     1	             2
               5	     6	     2	             2
               5	     6	     3	            22
               5	     6	     4	             6
               5	     6	     5	            16
               5	     6	     6	             2
               5	     6	     7	           140
               5	     7	     1	           176
               5	     7	     2	           100
               5	     7	     3	           356
               5	     7	     4	           200
               5	     7	     5	           444
               5	     7	     6	           140
               5	     7	     7	             0
               6	     1	     1	             0
               6	     1	     2	             0
               6	     1	     3	            28
               6	     1	     4	             4
               6	     1	     5	             2
               6	     1	     6	             0
               6	     1	     7	            62
               6	     2	     1	             0
               6	     2	     2	             0
               6	     2	     3	             4
               6	     2	     4	            14
               6	     2	     5	             2
               6	     2	     6	             0
               6	     2	     7	            28
               6	     3	     1	            28
               6	     3	     2	             4
               6	     3	     3	             0
               6	     3	     4	             2
               6	     3	     5	            22
               6	     3	     6	             0
               6	     3	     7	           136
               6	     4	     1	             4
               6	     4	     2	            14
               6	     4	     3	             2
               6	     4	     4	             0
               6	     4	     5	             6
               6	     4	     6	             0
               6	     4	     7	            70
               6	     5	     1	             2
               6	     5	     2	             2
               6	     5	     3	            22
               6	     5	     4	             6
               6	     5	     5	             8
               6	     5	     6	             4
               6	     5	     7	           140
               6	     6	     1	             0
               6	     6	     2	             0
               6	     6	     3	             0
               6	     6	     4	             0
               6	     6	     5	             4
               6	     6	     6	             0
               6	     6	     7	            52
               6	     7	     1	            62
               6	     7	     2	            28
               6	     7	     3	           136
               6	     7	     4	            70
               6	     7	     5	           140
               6	     7	     6	            52
               6	     7	     7	             0
