0.3	0.95	-4.968229899	-4.796333577	-20.45437162
0.3	0.97	-5.010294777	-4.850515417	-20.70336303
0.3	0.99	-5.038104562	-4.882785802	-20.90483312
0.3	1.01	-5.050601092	-4.899414104	-21.05464252
0.3	1.03	-5.046653252	-4.895503252	-21.14859872
0.3	1.05	-5.025078552	-4.868005591	-21.18245608
0.3	1.07	-4.984483049	-4.849446968	-21.15191583
0.3	1.09	-4.923354889	-4.800143596	-21.05262607
0.3	1.11	-4.840182531	-4.727376787	-20.88018185
0.3	1.13	-4.73341015	-4.637648358	-20.63012511
0.3	1.15	-4.601589782	-4.524513474	-20.29794474
0.6	0.95	-3.733640659	-3.444149828	-7.889192871
0.6	0.97	-3.731091897	-3.457736699	-7.937855698
0.6	0.99	-3.714742943	-3.442268313	-7.964758657
0.6	1.01	-3.683421077	-3.415331674	-7.967664674
0.6	1.03	-3.635947425	-3.371420805	-7.944322342
0.6	1.05	-3.571323737	-3.291914539	-7.892465931
0.6	1.07	-3.488052712	-3.223690512	-7.809815414
0.6	1.09	-3.384978394	-3.140158546	-7.694076477
0.6	1.11	-3.260518993	-3.029563996	-7.542940538
0.6	1.13	-3.11329223	-2.890801161	-7.354084757
0.6	1.15	-2.941752873	-2.74011999	-7.125172057
0.9	0.95	-2.66289584	-2.292785436	-3.915187142
0.9	0.97	-2.620039851	-2.258210559	-3.900698192
0.9	0.99	-2.563660417	-2.196565435	-3.872819632
0.9	1.01	-2.492534917	-2.126672087	-3.829948486
0.9	1.03	-2.405479944	-2.042055419	-3.770480377
0.9	1.05	-2.30156639	-1.92401786	-3.692809553
0.9	1.07	-2.179325664	-1.800467066	-3.595328898
0.9	1.09	-2.037557447	-1.682733608	-3.476429955
0.9	1.11	-1.874921548	-1.535616899	-3.334502939
0.9	1.13	-1.6899322	-1.362949578	-3.167936747
0.9	1.15	-1.481193247	-1.165152536	-2.975118979
1.2	0.95	-1.690344012	-1.256549821	-2.022667553
1.2	0.97	-1.609930416	-1.176969089	-1.979569072
1.2	0.99	-1.516178018	-1.07154977	-1.927038366
1.2	1.01	-1.407852775	-0.9608001368	-1.863789502
1.2	1.03	-1.283785078	-0.8348234839	-1.788541622
1.2	1.05	-1.143032196	-0.6812258059	-1.70001896
1.2	1.07	-0.984221717	-0.5121719664	-1.596950859
1.2	1.09	-0.8060706174	-0.3512344584	-1.47807179
1.2	1.11	-0.6074265364	-0.168480339	-1.342121363
1.2	1.13	-0.3867315737	0.03771729656	-1.187844347
1.2	1.15	-0.1426618588	0.274051672	-1.013990679
