0.3	0.95	-6.279073064	-6.115837562	-20.45437162
0.3	0.97	-6.34870774	-6.184609416	-20.70336303
0.3	0.99	-6.403966519	-6.240941648	-20.90483312
0.3	1.01	-6.443638239	-6.28364041	-21.05464252
0.3	1.03	-6.466490982	-6.311773646	-21.14859872
0.3	1.05	-6.471273544	-6.323976216	-21.18245608
0.3	1.07	-6.45671212	-6.3190385	-21.15191583
0.3	1.09	-6.421513841	-6.295823683	-21.05262607
0.3	1.11	-6.364375973	-6.252901843	-20.88018185
0.3	1.13	-6.28399318	-6.189084154	-20.63012511
0.3	1.15	-6.179036649	-6.102998587	-20.29794474
0.6	0.95	-5.044216937	-4.766121181	-7.889192871
0.6	0.97	-5.068858991	-4.788094039	-7.937855698
0.6	0.99	-5.079660104	-4.798662122	-7.964758657
0.6	1.01	-5.075433501	-4.796063674	-7.967664674
0.6	1.03	-5.054968009	-4.780236363	-7.944322342
0.6	1.05	-5.017027047	-4.748808987	-7.892465931
0.6	1.07	-4.960350051	-4.701072299	-7.809815414
0.6	1.09	-4.883655291	-4.635671455	-7.694076477
0.6	1.11	-4.785645449	-4.55082093	-7.542940538
0.6	1.13	-4.665007802	-4.446008667	-7.354084757
0.6	1.15	-4.520402522	-4.319620665	-7.125172057
0.9	0.95	-3.973471785	-3.611032097	-3.915187142
0.9	0.97	-3.957616117	-3.586994223	-3.900698192
0.9	0.99	-3.928223891	-3.552533171	-3.872819632
0.9	1.01	-3.884132494	-3.506633478	-3.829948486
0.9	1.03	-3.824151875	-3.447681084	-3.770480377
0.9	1.05	-3.747065024	-3.374720547	-3.692809553
0.9	1.07	-3.65162974	-3.286215867	-3.595328898
0.9	1.09	-3.536580844	-3.180878972	-3.476429955
0.9	1.11	-3.400632983	-3.057172132	-3.334502939
0.9	1.13	-3.242479366	-2.913193218	-3.167936747
0.9	1.15	-3.060785125	-2.748215138	-2.975118979
1.2	0.95	-3.00103004	-2.571381207	-2.022667553
1.2	0.97	-2.947485758	-2.505940963	-1.979569072
1.2	0.99	-2.880617631	-2.427404157	-1.927038366
1.2	1.01	-2.799281273	-2.340338139	-1.863789502
1.2	1.03	-2.702303507	-2.240500766	-1.788541622
1.2	1.05	-2.588483976	-2.125713772	-1.70001896
1.2	1.07	-2.456596564	-1.997876588	-1.596950859
1.2	1.09	-2.305390921	-1.852146528	-1.47807179
1.2	1.11	-2.133593704	-1.690753138	-1.342121363
1.2	1.13	-1.939907369	-1.510483028	-1.187844347
1.2	1.15	-1.723005607	-1.30836623	-1.013990679
