0.2	-4.160634612	-9.753472024
0.3	-3.044610134	-6.893580994
0.4	-2.80720898	-4.981207835
0.5	-2.812032443	-3.833515037
0.6	-3.010799249	-3.265034656
0.7	-3.28381458	-3.0895085
0.8	-3.534376581	-3.120648131
0.9	-3.660347638	-3.172507648
1.0	-3.542944794	-3.059688447
1.1	-3.044064434	-2.597461186
1.2	-2.007964093	-1.601843009
1.3	-0.2627069146	0.1103511558
1.4	2.379011461	2.721473177
1.5	6.119075172	6.413016469
1.6	11.17325926	11.36559751
1.7	17.77174896	17.75894198
1.8	26.15840204	25.77187422
1.9	36.59086985	35.58230895
