    r     rho_a(r)         V(r)  F(rho_a(r))
5.142  1.48515e-06            0 -0.000419752
5.136  1.51342e-06            0 -0.000427742
 5.13  1.54222e-06            0 -0.000435881
5.124  1.57155e-06            0 -0.000444172
5.118  1.60143e-06            0 -0.000452616
5.112  1.63186e-06            0 -0.000461218
5.106  1.66286e-06            0 -0.000469979
  5.1  1.69443e-06            0 -0.000478903
5.094  1.72659e-06            0 -0.000487992
5.088  1.75935e-06            0  -0.00049725
5.082  1.79271e-06            0 -0.000506679
5.076  1.82669e-06            0 -0.000516284
 5.07   1.8613e-06            0 -0.000526066
5.064  1.89655e-06            0 -0.000536028
5.058  1.93246e-06            0 -0.000546176
5.052  1.96902e-06            0 -0.000556511
5.046  2.00626e-06            0 -0.000567036
 5.04  2.04419e-06            0 -0.000577756
5.034  2.08282e-06            0 -0.000588674
5.028  2.12217e-06            0 -0.000599794
5.022  2.16223e-06            0 -0.000611118
5.016  2.20304e-06            0 -0.000622652
 5.01   2.2446e-06            0 -0.000634397
5.004  2.28692e-06            0 -0.000646359
4.998  2.33002e-06            0 -0.000658541
4.992  2.37392e-06            0 -0.000670947
4.986  2.41862e-06            0 -0.000683581
 4.98  2.46414e-06            0 -0.000696447
4.974   2.5105e-06            0  -0.00070955
4.968  2.55771e-06            0 -0.000722893
4.962  2.60578e-06            0  -0.00073648
4.956  2.65474e-06            0 -0.000750317
 4.95  2.70459e-06            0 -0.000764408
4.944  2.75536e-06            0 -0.000778756
4.938  2.80706e-06            0 -0.000793367
4.932   2.8597e-06            0 -0.000808245
4.926   2.9133e-06            0 -0.000823396
 4.92  2.96789e-06            0 -0.000838823
4.914  3.02347e-06            0 -0.000854532
4.908  3.08007e-06            0 -0.000870528
4.902   3.1377e-06            0 -0.000886816
4.896  3.19637e-06            0 -0.000903401
 4.89  3.25612e-06            0 -0.000920288
4.884  3.31696e-06            0 -0.000937483
4.878  3.37891e-06            0 -0.000954991
4.872  3.44198e-06            0 -0.000972817
4.866   3.5062e-06            0 -0.000990968
 4.86  3.57159e-06            0  -0.00100945
4.854  3.63816e-06            0  -0.00102826
4.848  3.70595e-06            0  -0.00104742
4.842  3.77496e-06            0  -0.00106693
4.836  3.84523e-06            0  -0.00108679
 4.83  3.91676e-06            0  -0.00110701
4.824   3.9896e-06            0  -0.00112759
4.818  4.06375e-06            0  -0.00114855
4.812  4.13925e-06            0  -0.00116989
4.806  4.21611e-06            0  -0.00119161
  4.8  4.29436e-06            0  -0.00121373
4.794  4.37403e-06            0  -0.00123624
4.788  4.45513e-06            0  -0.00125917
4.782   4.5377e-06            0   -0.0012825
4.776  4.62175e-06            0  -0.00130626
 4.77  4.70732e-06            0  -0.00133044
4.764  4.79444e-06            0  -0.00135507
4.758  4.88312e-06            0  -0.00138013
4.752  4.97339e-06            0  -0.00140564
4.746  5.06529e-06            0  -0.00143162
 4.74  5.15884e-06            0  -0.00145806
4.734  5.25408e-06            0  -0.00148498
4.728  5.35102e-06            0  -0.00151237
4.722   5.4497e-06            0  -0.00154026
4.716  5.55015e-06            0  -0.00156866
 4.71   5.6524e-06            0  -0.00159756
4.704  5.75648e-06            0  -0.00162697
4.698  5.86243e-06            0  -0.00165692
4.692  5.97027e-06            0  -0.00168739
4.686  6.08004e-06            0  -0.00171842
 4.68  6.19177e-06            0     -0.00175
4.674  6.30549e-06            0  -0.00178214
4.668  6.42125e-06            0  -0.00181486
4.662  6.53907e-06            0  -0.00184816
4.656  6.65899e-06            0  -0.00188205
 4.65  6.78104e-06            0  -0.00191655
4.644  6.90527e-06            0  -0.00195166
4.638  7.03171e-06            0  -0.00198739
4.632   7.1604e-06            0  -0.00202376
4.626  7.29137e-06            0  -0.00206078
 4.62  7.42467e-06            0  -0.00209846
4.614  7.56034e-06            0   -0.0021368
4.608  7.69842e-06            0  -0.00217583
4.602  7.83894e-06            0  -0.00221554
4.596  7.98195e-06            0  -0.00225596
 4.59  8.12749e-06            0   -0.0022971
4.584  8.27561e-06            0  -0.00233896
4.578  8.42635e-06            0  -0.00238156
4.572  8.57975e-06            0  -0.00242492
4.566  8.73586e-06            0  -0.00246904
 4.56  8.89473e-06            0  -0.00251394
4.554   9.0564e-06            0  -0.00255964
4.548  9.22092e-06            0  -0.00260614
4.542  9.38834e-06            0  -0.00265345
4.536  9.55871e-06            0  -0.00270161
 4.53  9.73207e-06            0   -0.0027506
4.524  9.90849e-06            0  -0.00280046
4.518   1.0088e-05            0   -0.0028512
4.512  1.02707e-05            0  -0.00290283
4.506  1.04565e-05            0  -0.00295536
  4.5  1.06457e-05            0  -0.00300882
4.494  1.08381e-05            0  -0.00306321
4.488  1.10339e-05            0  -0.00311855
4.482  1.12332e-05            0  -0.00317487
4.476  1.14359e-05            0  -0.00323217
 4.47  1.16422e-05            0  -0.00329047
4.464  1.18521e-05            0  -0.00334979
4.458  1.20656e-05            0  -0.00341014
4.452  1.22829e-05            0  -0.00347155
4.446  1.25039e-05            0  -0.00353403
 4.44  1.27289e-05            0  -0.00359759
4.434  1.29577e-05            0  -0.00366227
4.428  1.31905e-05            0  -0.00372807
4.422  1.34274e-05            0  -0.00379501
4.416  1.36683e-05            0  -0.00386312
 4.41  1.39135e-05            0  -0.00393241
4.404  1.41629e-05            0  -0.00400291
4.398  1.44167e-05            0  -0.00407462
4.392  1.46748e-05            0  -0.00414758
4.386  1.49374e-05            0   -0.0042218
 4.38  1.52046e-05            0  -0.00429731
4.374  1.54763e-05            0  -0.00437413
4.368  1.57528e-05            0  -0.00445227
4.362  1.60341e-05            0  -0.00453176
4.356  1.63202e-05            0  -0.00461262
 4.35  1.66112e-05            0  -0.00469488
4.344  1.69073e-05            0  -0.00477856
4.338  1.72085e-05            0  -0.00486368
4.332  1.75148e-05            0  -0.00495026
4.326  1.78264e-05            0  -0.00503834
 4.32  1.81434e-05            0  -0.00512792
4.314  1.84658e-05            0  -0.00521905
4.308  1.87938e-05            0  -0.00531174
4.302  1.91274e-05            0  -0.00540603
4.296  1.94667e-05            0  -0.00550192
 4.29  1.98118e-05            0  -0.00559946
4.284  2.01628e-05            0  -0.00569868
4.278  2.05198e-05            0  -0.00579958
4.272   2.0883e-05            0  -0.00590222
4.266  2.12523e-05            0   -0.0060066
 4.26   2.1628e-05            0  -0.00611277
4.254    2.201e-05            0  -0.00622075
4.248  2.23986e-05            0  -0.00633057
4.242  2.27938e-05            0  -0.00644226
4.236  2.31957e-05            0  -0.00655586
 4.23  2.36044e-05            0  -0.00667138
4.224  2.40201e-05            0  -0.00678887
4.218  2.44429e-05            0  -0.00690836
4.212  2.48728e-05            0  -0.00702987
4.206    2.531e-05            0  -0.00715344
  4.2  2.57546e-05            0  -0.00727911
4.194  2.62068e-05            0  -0.00740691
4.188  2.66666e-05            0  -0.00753687
4.182  2.71342e-05            0  -0.00766902
4.176  2.76097e-05            0  -0.00780342
 4.17  2.80933e-05            0  -0.00794008
4.164  2.85849e-05            0  -0.00807904
4.158  2.90849e-05            0  -0.00822035
4.152  2.95933e-05            0  -0.00836404
4.146  3.01103e-05            0  -0.00851015
 4.14  3.06359e-05            0  -0.00865872
4.134  3.11704e-05            0  -0.00880979
4.128  3.17139e-05            0  -0.00896339
4.122  3.22665e-05            0  -0.00911958
4.116  3.28284e-05            0  -0.00927838
 4.11  3.33997e-05            0  -0.00943984
4.104  3.39805e-05            0  -0.00960401
4.098  3.45711e-05            0  -0.00977093
4.092  3.51716e-05            0  -0.00994064
4.086  3.57821e-05            0   -0.0101132
 4.08  3.64027e-05            0   -0.0102886
4.074  3.70338e-05            0    -0.010467
4.068  3.76754e-05            0   -0.0106483
4.062  3.83276e-05            0   -0.0108326
4.056  3.89907e-05            0   -0.0110201
 4.05  3.96649e-05            0   -0.0112106
4.044  4.03502e-05            0   -0.0114043
4.038  4.10469e-05            0   -0.0116012
4.032  4.17552e-05            0   -0.0118014
4.026  4.24753e-05            0   -0.0120049
 4.02  4.32072e-05            0   -0.0122118
4.014  4.39513e-05            0   -0.0124221
4.008  4.47077e-05            0   -0.0126359
4.002  4.54766e-05            0   -0.0128532
3.996  4.62582e-05            0   -0.0130741
 3.99  4.70527e-05            0   -0.0132986
3.984  4.78603e-05            0   -0.0135269
3.978  4.86813e-05            0   -0.0137589
3.972  4.95157e-05            0   -0.0139948
3.966  5.03639e-05            0   -0.0142345
 3.96   5.1226e-05            0   -0.0144781
3.954  5.21022e-05            0   -0.0147258
3.948  5.29929e-05            0   -0.0149775
3.942  5.38982e-05            0   -0.0152334
3.936  5.48183e-05            0   -0.0154934
 3.93  5.57534e-05            0   -0.0157577
3.924  5.67039e-05            0   -0.0160264
3.918  5.76699e-05            0   -0.0162994
3.912  5.86517e-05            0   -0.0165769
3.906  5.96495e-05            0   -0.0168589
  3.9  6.06636e-05            0   -0.0171455
3.894  6.16942e-05            0   -0.0174368
3.888  6.27416e-05            0   -0.0177328
3.882   6.3806e-05            0   -0.0180336
3.876  6.48877e-05            0   -0.0183394
 3.87   6.5987e-05            0   -0.0186501
3.864  6.71042e-05            0   -0.0189658
3.858  6.82394e-05            0   -0.0192867
3.852  6.93931e-05            0   -0.0196127
3.846  7.05654e-05            0   -0.0199441
 3.84  7.17567e-05            0   -0.0202807
3.834  7.29672e-05            0   -0.0206229
3.828  7.41973e-05            0   -0.0209705
3.822  7.54473e-05            0   -0.0213238
3.816  7.67173e-05            0   -0.0216828
 3.81  7.80079e-05            0   -0.0220475
3.804  7.93192e-05            0   -0.0224181
3.798  8.06516e-05            0   -0.0227947
3.792  8.20054e-05            0   -0.0231774
3.786   8.3381e-05            0   -0.0235661
 3.78  8.47786e-05            0   -0.0239611
3.774  8.61986e-05            0   -0.0243625
3.768  8.76414e-05            0   -0.0247702
3.762  8.91072e-05            0   -0.0251845
3.756  9.05965e-05            0   -0.0256054
 3.75  9.21096e-05            0   -0.0260331
3.744  9.36468e-05            0   -0.0264675
3.738  9.52085e-05            0   -0.0269089
3.732  9.67951e-05            0   -0.0273573
3.726   9.8407e-05            0   -0.0278129
 3.72  0.000100044            0   -0.0282757
3.714  0.000101708            0   -0.0287459
3.708  0.000103398            0   -0.0292235
3.702  0.000105115            0   -0.0297087
3.696  0.000106859            0   -0.0302016
 3.69   0.00010863            0   -0.0307023
3.684   0.00011043            0   -0.0312109
3.678  0.000112258            0   -0.0317276
3.672  0.000114115            0   -0.0322524
3.666  0.000116001            0   -0.0327855
 3.66  0.000117917            0    -0.033327
3.654  0.000119863            0    -0.033877
3.648   0.00012184            0   -0.0344357
3.642  0.000123848            0   -0.0350032
3.636  0.000125887            0   -0.0355796
 3.63  0.000127959            0   -0.0361651
3.624  0.000130063            0   -0.0367597
3.618    0.0001322            0   -0.0373636
3.612   0.00013437            0   -0.0379771
3.606  0.000136575            0   -0.0386001
  3.6  0.000138813            0   -0.0392328
3.594  0.000141087            0   -0.0398754
3.588  0.000143396            0   -0.0405281
3.582  0.000145742            0   -0.0411909
3.576  0.000148124            0   -0.0418641
 3.57  0.000150542            0   -0.0425477
3.564  0.000152999            0   -0.0432419
3.558  0.000155493            0    -0.043947
3.552  0.000158027            0   -0.0446629
3.546    0.0001606            0     -0.04539
 3.54  0.000163212            0   -0.0461284
3.534  0.000165865            0   -0.0468782
3.528  0.000168559            0   -0.0476395
3.522  0.000171295            0   -0.0484127
3.516  0.000174072            0   -0.0491977
 3.51  0.000176893            0   -0.0499949
3.504  0.000179757            0   -0.0508044
3.498  0.000182666            0   -0.0516263
3.492  0.000185619            0   -0.0524609
3.486  0.000188617            0   -0.0533082
 3.48  0.000191661            0   -0.0541686
3.474  0.000194752            0   -0.0550422
3.468  0.000197891            0   -0.0559292
3.462  0.000201078            0   -0.0568298
3.456  0.000204313            0   -0.0577442
 3.45  0.000207598            0   -0.0586725
3.444  0.000210933            0    -0.059615
3.438  0.000214319            0   -0.0605719
3.432  0.000217756            0   -0.0615434
3.426  0.000221246            0   -0.0625296
 3.42  0.000224789            0   -0.0635309
3.414  0.000228386            0   -0.0645474
3.408  0.000232037            0   -0.0655793
3.402  0.000235744            0   -0.0666269
3.396  0.000239507            0   -0.0676904
 3.39  0.000243327            0     -0.06877
3.384  0.000247205            0   -0.0698659
3.378  0.000251142            0   -0.0709784
3.372  0.000255138            0   -0.0721077
3.366  0.000259195            0   -0.0732541
 3.36  0.000263312            0   -0.0744177
3.354  0.000267492            0   -0.0755988
3.348  0.000271734            0   -0.0767978
3.342  0.000276041            0   -0.0780147
3.336  0.000280412            0     -0.07925
 3.33  0.000284849            0   -0.0805038
3.324  0.000289352            0   -0.0817764
3.318  0.000293923            0    -0.083068
3.312  0.000298562            0    -0.084379
3.306  0.000303271            0   -0.0857096
  3.3   0.00030805            0   -0.0870601
3.294    0.0003129            0   -0.0884308
3.288  0.000317823            0   -0.0898219
3.282  0.000322819            0   -0.0912337
3.276  0.000327889            0   -0.0926665
 3.27  0.000333035            0   -0.0941207
3.264  0.000338258            0   -0.0955964
3.258  0.000343558            0   -0.0970941
3.252  0.000348937            0    -0.098614
3.246  0.000354395            0    -0.100156
 3.24  0.000359934            0    -0.101722
3.234  0.000365556            0     -0.10331
3.228   0.00037126            0    -0.104922
3.222  0.000377049            0    -0.106558
3.216  0.000382923            0    -0.108217
 3.21  0.000388884            0    -0.109902
3.204  0.000394932            0    -0.111611
3.198   0.00040107            0    -0.113345
3.192  0.000407298            0    -0.115105
3.186  0.000413617            0     -0.11689
 3.18   0.00042003            0    -0.118702
3.174  0.000426536            0     -0.12054
3.168  0.000433138            0    -0.122405
3.162  0.000439836            0    -0.124298
3.156  0.000446632            0    -0.126218
 3.15  0.000453528            0    -0.128166
3.144  0.000460524            0    -0.130143
3.138  0.000467622            0    -0.132149
3.132  0.000474824            0    -0.134183
3.126  0.000482131            0    -0.136248
 3.12  0.000489544            0    -0.138342
3.114  0.000497065            0    -0.140467
3.108  0.000504695            0    -0.142622
3.102  0.000512436            0    -0.144809
3.096  0.000520289            0    -0.147028
 3.09  0.000528256            0    -0.149278
3.084  0.000536339            0    -0.151561
3.078  0.000544538            0    -0.153878
3.072  0.000552855            0    -0.156227
3.066  0.000561293            0    -0.158611
 3.06  0.000569853            0    -0.161028
3.054  0.000578536            0    -0.163481
3.048  0.000587344            0    -0.165969
3.042  0.000596278            0    -0.168493
3.036  0.000605341            0    -0.171053
 3.03  0.000614535            0    -0.173649
3.024   0.00062386            0    -0.176283
3.018  0.000633319            0    -0.178955
3.012  0.000642914            0    -0.181664
3.006  0.000652645            0    -0.184413
    3  0.000662517  3.13146e-08    -0.187201
2.994  0.000672529  4.03487e-07    -0.190028
2.988  0.000682684  1.58783e-06    -0.192896
2.982  0.000692984  4.08254e-06    -0.195805
2.976  0.000703431  8.41179e-06    -0.198755
 2.97  0.000714027   1.5126e-05    -0.201747
2.964  0.000724773  2.48023e-05    -0.204782
2.958  0.000735673  3.80442e-05    -0.207859
2.952  0.000746727  5.54827e-05     -0.21098
2.946  0.000757938  7.77759e-05    -0.214146
 2.94  0.000769308   0.00010561    -0.217356
2.934   0.00078084  0.000139698    -0.220612
2.928  0.000792534  0.000180782    -0.223914
2.922  0.000804395  0.000229632    -0.227262
2.916  0.000816423  0.000287048    -0.230658
 2.91   0.00082862  0.000353858    -0.234101
2.904  0.000840991  0.000430919    -0.237593
2.898  0.000853535  0.000519118    -0.241134
2.892  0.000866257  0.000619374    -0.244725
2.886  0.000879157  0.000732632    -0.248366
 2.88  0.000892239  0.000859872    -0.252058
2.874  0.000905505    0.0010021    -0.255802
2.868  0.000918958   0.00116036    -0.259599
2.862  0.000932599   0.00133573    -0.263449
2.856  0.000946432    0.0015293    -0.267352
 2.85  0.000960459   0.00174221     -0.27131
2.844  0.000974682   0.00197563    -0.275323
2.838  0.000989104   0.00223077    -0.279393
2.832   0.00100373   0.00250885    -0.283519
2.826   0.00101856   0.00281115    -0.287702
 2.82   0.00103359   0.00313896    -0.291944
2.814   0.00104884   0.00349363    -0.296244
2.808   0.00106429   0.00387653    -0.300605
2.802   0.00107997   0.00428906    -0.305025
2.796   0.00109586   0.00473267    -0.309507
 2.79   0.00111197   0.00520882    -0.314051
2.784   0.00112831   0.00571905    -0.318658
2.778   0.00114487   0.00626489    -0.323329
2.772   0.00116166   0.00684794    -0.328064
2.766   0.00117869   0.00746982    -0.332865
 2.76   0.00119595   0.00813219    -0.337732
2.754   0.00121345   0.00883676    -0.342666
2.748    0.0012312   0.00958526    -0.347667
2.742   0.00124919    0.0103795    -0.352738
2.736   0.00126743    0.0112212    -0.357878
 2.73   0.00128592    0.0121124    -0.363089
2.724   0.00130466    0.0130548    -0.368371
2.718   0.00132366    0.0140505    -0.373726
2.712   0.00134293    0.0151013    -0.379154
2.706   0.00136246    0.0162094    -0.384656
  2.7   0.00138226    0.0173768    -0.390234
2.694   0.00140233    0.0186056    -0.395887
2.688   0.00142268     0.019898    -0.401618
2.682   0.00144331    0.0212561    -0.407427
2.676   0.00146422    0.0226822    -0.413315
 2.67   0.00148542    0.0241786    -0.419284
2.664   0.00150691    0.0257475    -0.425333
2.658   0.00152869    0.0273915    -0.431464
2.652   0.00155077    0.0291128    -0.437679
2.646   0.00157315     0.030914    -0.443978
 2.64   0.00159584    0.0327976    -0.450363
2.634   0.00161884    0.0347661    -0.456834
2.628   0.00164216    0.0368222    -0.463392
2.622   0.00166579    0.0389685    -0.470039
2.616   0.00168974    0.0412076    -0.476776
 2.61   0.00171402    0.0435425    -0.483603
2.604   0.00173864    0.0459758    -0.490523
2.598   0.00176358    0.0485105    -0.497535
2.592   0.00178887    0.0511494    -0.504643
2.586    0.0018145    0.0538956    -0.511845
 2.58   0.00184048    0.0567519    -0.519144
2.574   0.00186681    0.0597216    -0.526542
2.568    0.0018935    0.0628077    -0.534038
2.562   0.00192055    0.0660134    -0.541634
2.556   0.00194797    0.0693419    -0.549333
 2.55   0.00197576    0.0727966    -0.557134
2.544   0.00200393    0.0763807    -0.565039
2.538   0.00203247    0.0800978     -0.57305
2.532   0.00206141    0.0839511    -0.581167
2.526   0.00209073    0.0879444    -0.589392
 2.52   0.00212046    0.0920811    -0.597727
2.514   0.00215058    0.0963649    -0.606173
2.508   0.00218111     0.100799     -0.61473
2.502   0.00221205     0.105389    -0.623401
2.496   0.00224341     0.110136    -0.632187
 2.49    0.0022752     0.115046    -0.641089
2.484   0.00230741     0.120122    -0.650109
2.478   0.00234005     0.125368    -0.659248
2.472   0.00237314     0.130789    -0.668507
2.466   0.00240667     0.136388    -0.677888
 2.46   0.00244065      0.14217    -0.687393
2.454   0.00247508     0.148138    -0.697022
2.448   0.00250999     0.154298    -0.706778
2.442   0.00254535     0.160654    -0.716662
2.436    0.0025812      0.16721    -0.726676
 2.43   0.00261752     0.173971     -0.73682
2.424   0.00265434     0.180942    -0.747097
2.418   0.00269164     0.188126    -0.757509
2.412   0.00272945      0.19553    -0.768056
2.406   0.00276776     0.203157     -0.77874
  2.4   0.00280659     0.211013    -0.789563
2.394   0.00284594     0.219103    -0.800527
2.388   0.00288581     0.227431    -0.811633
2.382   0.00292622     0.236004    -0.822884
2.376   0.00296716     0.244826    -0.834279
 2.37   0.00300866     0.253902    -0.845822
2.364   0.00305071     0.263239    -0.857515
2.358   0.00309332     0.272841    -0.869357
2.352    0.0031365     0.282714    -0.881353
2.346   0.00318025     0.292863    -0.893502
 2.34   0.00322459     0.303296    -0.905808
2.334   0.00326953     0.314016    -0.918271
2.328   0.00331506     0.325031    -0.930894
2.322    0.0033612     0.336346    -0.943679
2.316   0.00340795     0.347967    -0.956626
 2.31   0.00345533     0.359901    -0.969739
2.304   0.00350334     0.372154    -0.983018
2.298   0.00355199     0.384732    -0.996466
2.292   0.00360129     0.397642     -1.01009
2.286   0.00365124      0.41089     -1.02388
 2.28   0.00370186     0.424483     -1.03784
2.274   0.00375316     0.438427     -1.05198
2.268   0.00380513      0.45273     -1.06631
2.262    0.0038578     0.467399     -1.08081
2.256   0.00391117     0.482441     -1.09549
 2.25   0.00396525     0.497862     -1.11036
2.244   0.00402005      0.51367     -1.12541
2.238   0.00407558     0.529873     -1.14065
2.232   0.00413185     0.546478     -1.15608
2.226   0.00418887     0.563492     -1.17171
 2.22   0.00424665     0.580924     -1.18752
2.214   0.00430519     0.598781     -1.20354
2.208   0.00436452     0.617071     -1.21975
2.202   0.00442464     0.635802     -1.23616
2.196   0.00448555     0.654983     -1.25277
 2.19   0.00454728     0.674621     -1.26959
2.184   0.00460983     0.694726     -1.28662
2.178   0.00467321     0.715305     -1.30385
2.172   0.00473744     0.736368      -1.3213
2.166   0.00480252     0.757922     -1.33895
 2.16   0.00486847     0.779978     -1.35683
2.154    0.0049353     0.802544     -1.37491
2.148   0.00500303     0.825629     -1.39322
2.142   0.00507165     0.849243     -1.41175
2.136    0.0051412     0.873395      -1.4305
 2.13   0.00521167     0.898095     -1.44948
2.124   0.00528308     0.923353     -1.46868
2.118   0.00535545     0.949177     -1.48812
2.112   0.00542879     0.975579     -1.50778
2.106   0.00550311      1.00257     -1.52768
  2.1   0.00557842      1.03016     -1.54781
2.094   0.00565475      1.05835     -1.56819
2.088    0.0057321      1.08717      -1.5888
2.082   0.00581048      1.11661     -1.60965
2.076   0.00588993       1.1467     -1.63075
 2.07   0.00597044      1.17743     -1.65209
2.064   0.00605203      1.20883     -1.67369
2.058   0.00613473      1.24091     -1.69553
2.052   0.00621854      1.27367     -1.71762
2.046   0.00630348      1.30712     -1.73997
