    T      rho_sub
  0.3  1.015304298
 0.35  1.005980894
  0.4 0.9966885074
 0.45 0.9870207898
  0.5 0.9770552413
 0.55 0.9667513002
  0.6 0.9562083055
 0.65 0.9455187093
  0.7 0.9342476027
 0.75 0.9225802811
  0.8 0.9101635809
 0.85 0.8970034798
  0.9  0.883250461
 0.95 0.8683201116
    1 0.8516440447
 1.05 0.8321649252
  1.1 0.8086704013
 1.15 0.7775010318
