#	T	rho	calc	hoef:
   0.600    1.140    9.39254495    9.50312346
   0.600    1.141    9.48934996    9.59909540
   0.600    1.142    9.58659918    9.69559177
   0.600    1.143    9.68452078    9.79261422
   0.600    1.144    9.78291989    9.89016441
   0.600    1.145    9.88177125    9.98824398
   0.600    1.146    9.98124286    10.08685460
   0.600    1.147    10.08132418    10.18599793
   0.600    1.148    10.18185741    10.28567562
   0.600    1.149    10.28284363    10.38588935
   0.600    1.150    10.38443038    10.48664078
   0.600    1.151    10.48663928    10.58793157
   0.600    1.152    10.58930926    10.68976341
   0.600    1.153    10.69244321    10.79213797
   0.600    1.154    10.79620624    10.89505692
   0.600    1.155    10.90058053    10.99852195
   0.600    1.156    11.00541325    11.10253474
   0.600    1.157    11.11071716    11.20709697
   0.600    1.158    11.21675681    11.31221034
   0.600    1.159    11.32327807    11.41787653
   0.600    1.160    11.43028016    11.52409724
   0.600    1.161    11.53792323    11.63087417
   0.600    1.162    11.64619487    11.73820901
   0.600    1.163    11.75494051    11.84610346
   0.600    1.164    11.86416091    11.95455923
   0.600    1.165    11.97403579    12.06357803
   0.600    1.166    12.08456492    12.17316157
   0.600    1.167    12.19558429    12.28331155
   0.600    1.168    12.30708144    12.39402969
   0.600    1.169    12.41923594    12.50531771
   0.600    1.170    12.53204316    12.61717733
   0.600    1.171    12.64534048    12.72961027
   0.600    1.172    12.75913805    12.84261826
   0.600    1.173    12.87360413    12.95620302
   0.600    1.174    12.98873188    13.07036629
   0.600    1.175    13.10435518    13.18510979
   0.600    1.176    13.22046910    13.30043527
   0.600    1.177    13.33726298    13.41634446
   0.600    1.178    13.45473334    13.53283910
   0.600    1.179    13.57270893    13.64992094
   0.600    1.180    13.69118681    13.76759172
   0.600    1.181    13.81034606    13.88585319
   0.600    1.182    13.93018559    14.00470710
   0.600    1.183    14.05052802    14.12415521
   0.600    1.184    14.17137368    14.24419928
   0.600    1.185    14.29291905    14.36484106
   0.600    1.186    14.41515602    14.48608231
   0.600    1.187    14.53790217    14.60792481
   0.600    1.188    14.66115322    14.73037031
   0.600    1.189    14.78511268    14.85342058
   0.600    1.190    14.90977594    14.97707741
   0.600    1.191    15.03495650    15.10134257
   0.600    1.192    15.16064928    15.22621783
   0.600    1.193    15.28705801    15.35170497
   0.600    1.194    15.41417231    15.47780578
   0.600    1.195    15.54180491    15.60452204
   0.600    1.196    15.66995305    15.73185554
   0.600    1.197    15.79882406    15.85980808
   0.600    1.198    15.92842098    15.98838145
   0.600    1.199    16.05854458    16.11757744
   0.600    1.200    16.18918301    16.24739785
   0.600    1.201    16.32055101    16.37784449
   0.600    1.202    16.45265074    16.50891916
   0.600    1.203    16.58527806    16.64062366
   0.600    1.204    16.71843417    16.77295981
   0.600    1.205    16.85234567    16.90592942
   0.600    1.206    16.98699648    17.03953431
   0.600    1.207    17.12217320    17.17377629
   0.600    1.208    17.25787217    17.30865718
   0.600    1.209    17.39431727    17.44417881
   0.600    1.210    17.53152030    17.58034300
   0.600    1.211    17.66927211    17.71715158
   0.600    1.212    17.80755611    17.85460638
   0.600    1.213    17.94661728    17.99270924
   0.600    1.214    18.08633300    18.13146200
   0.600    1.215    18.22679049    18.27086648
   0.600    1.216    18.36778316    18.41092454
   0.600    1.217    18.50931054    18.55163802
   0.600    1.218    18.65160650    18.69300876
   0.600    1.219    18.79468498    18.83503863
   0.600    1.220    18.93831749    18.97772946
   0.600    1.221    19.08249467    19.12108311
   0.600    1.222    19.22746671    19.26510145
   0.600    1.223    19.37323135    19.40978633
   0.600    1.224    19.51955768    19.55513962
   0.600    1.225    19.66643147    19.70116318
   0.600    1.226    19.81411776    19.84785888
   0.600    1.227    19.96259635    19.99522860
   0.600    1.228    20.11161665    20.14327420
   0.600    1.229    20.26116908    20.29199757
   0.600    1.230    20.41152650    20.44140058
   0.600    1.231    20.56256953    20.59148512
   0.600    1.232    20.71442540    20.74225307
   0.600    1.233    20.86686228    20.89370632
   0.600    1.234    21.01986257    21.04584675
   0.600    1.235    21.17369817    21.19867627
   0.600    1.236    21.32834200    21.35219677
   0.600    1.237    21.48354998    21.50641015
   0.600    1.238    21.63933067    21.66131830
   0.600    1.239    21.79596825    21.81692314
   0.600    1.240    21.95345065    21.97322656
   0.600    1.241    22.11148842    22.13023048
   0.600    1.242    22.27008343    22.28793681
   0.600    1.243    22.42956403    22.44634747
   0.600    1.244    22.58977075    22.60546437
   0.600    1.245    22.75078367    22.76528943
   0.600    1.246    22.91238315    22.92582457
   0.600    1.247    23.07457391    23.08707173
   0.600    1.248    23.23763952    23.24903282
   0.600    1.249    23.40155421    23.41170979
   0.600    1.250    23.56605991    23.57510455
   0.600    1.251    23.73116657    23.73921906
   0.600    1.252    23.89713257    23.90405525
   0.600    1.253    24.06382276    24.06961505
   0.600    1.254    24.23138324    24.23590043
   0.600    1.255    24.39958545    24.40291331
   0.600    1.256    24.56842011    24.57065566
   0.600    1.257    24.73813578    24.73912942
   0.600    1.258    24.90872167    24.90833655
   0.600    1.259    25.07992110    25.07827901
   0.600    1.260    25.25171648    25.24895877
   0.600    1.261    25.42440544    25.42037777
   0.600    1.262    25.59784102    25.59253800
   0.600    1.263    25.77217070    25.76544141
   0.600    1.264    25.94712396    25.93908999
   0.600    1.265    26.12268094    26.11348569
   0.600    1.266    26.29917040    26.28863052
   0.600    1.267    26.47659460    26.46452643
   0.600    1.268    26.65466007    26.64117542
   0.600    1.269    26.83333388    26.81857947
   0.600    1.270    27.01292799    26.99674057
   0.600    1.271    27.19329154    27.17566071
   0.600    1.272    27.37455982    27.35534188
   0.600    1.273    27.55646978    27.53578608
   0.600    1.274    27.73902016    27.71699531
   0.600    1.275    27.92251920    27.89897158
   0.600    1.276    28.10679111    28.08171687
   0.600    1.277    28.29198908    28.26523321
   0.600    1.278    28.47783664    28.44952261
   0.600    1.279    28.66431550    28.63458707
   0.600    1.280    28.85175804    28.82042861
   0.600    1.281    29.04015640    29.00704925
   0.600    1.282    29.22920273    29.19445101
   0.600    1.283    29.41887584    29.38263592
   0.600    1.284    29.60952114    29.57160599
   0.600    1.285    29.80097903    29.76136327
   0.600    1.286    29.99339455    29.95190978
   0.600    1.287    30.18645360    30.14324756
   0.600    1.288    30.38016320    30.33537864
   0.600    1.289    30.57484819    30.52830507
   0.600    1.290    30.77033758    30.72202889
   0.600    1.291    30.96681444    30.91655214
   0.600    1.292    31.16395592    31.11187688
   0.600    1.293    31.36174122    31.30800515
   0.600    1.294    31.56052741    31.50493901
   0.600    1.295    31.76015003    31.70268052
   0.600    1.296    31.96076499    31.90123173
   0.600    1.297    32.16204698    32.10059471
   0.600    1.298    32.36399289    32.30077152
   0.600    1.299    32.56695556    32.50176423
   0.900    0.900   -0.73497405    0.35745482
   0.900    0.901   -0.71680985    0.37059837
   0.900    0.902   -0.69845252    0.38394675
   0.900    0.903   -0.67993261    0.39750105
   0.900    0.904   -0.66118842    0.41126235
   0.900    0.905   -0.64226400    0.42523174
   0.900    0.906   -0.62314243    0.43941031
   0.900    0.907   -0.60383482    0.45379914
   0.900    0.908   -0.58435004    0.46839934
   0.900    0.909   -0.56461400    0.48321198
   0.900    0.910   -0.54469260    0.49823819
   0.900    0.911   -0.52459668    0.51347904
   0.900    0.912   -0.50427395    0.52893565
   0.900    0.913   -0.48377345    0.54460911
   0.900    0.914   -0.46305553    0.56050054
   0.900    0.915   -0.44212307    0.57661104
   0.900    0.916   -0.42101167    0.59294173
   0.900    0.917   -0.39965424    0.60949371
   0.900    0.918   -0.37810579    0.62626810
   0.900    0.919   -0.35636945    0.64326602
   0.900    0.920   -0.33439014    0.66048859
   0.900    0.921   -0.31222565    0.67793693
   0.900    0.922   -0.28984107    0.69561216
   0.900    0.923   -0.26724485    0.71351541
   0.900    0.924   -0.24446089    0.73164781
   0.900    0.925   -0.22142023    0.75001048
   0.900    0.926   -0.19818242    0.76860457
   0.900    0.927   -0.17472924    0.78743121
   0.900    0.928   -0.15105706    0.80649152
   0.900    0.929   -0.12717453    0.82578666
   0.900    0.930   -0.10303525    0.84531777
   0.900    0.931   -0.07871052    0.86508598
   0.900    0.932   -0.05417799    0.88509245
   0.900    0.933   -0.02936842    0.90533832
   0.900    0.934   -0.00436195    0.92582474
   0.900    0.935    0.02083875    0.94655287
   0.900    0.936    0.04631644    0.96752386
   0.900    0.937    0.07200403    0.98873887
   0.900    0.938    0.09792193    1.01019906
   0.900    0.939    0.12406837    1.03190558
   0.900    0.940    0.15041987    1.05385961
   0.900    0.941    0.17705574    1.07606230
   0.900    0.942    0.20390307    1.09851484
   0.900    0.943    0.23096390    1.12121838
   0.900    0.944    0.25830651    1.14417410
   0.900    0.945    0.28586360    1.16738317
   0.900    0.946    0.31366605    1.19084678
   0.900    0.947    0.34171030    1.21456610
   0.900    0.948    0.36996185    1.23854231
   0.900    0.949    0.39849810    1.26277660
   0.900    0.950    0.42726129    1.28727015
   0.900    0.951    0.45624283    1.31202415
   0.900    0.952    0.48549990    1.33703980
   0.900    0.953    0.51497683    1.36231828
   0.900    0.954    0.54468814    1.38786078
   0.900    0.955    0.57470457    1.41366852
   0.900    0.956    0.60495515    1.43974267
   0.900    0.957    0.63544792    1.46608446
   0.900    0.958    0.66619346    1.49269508
   0.900    0.959    0.69718630    1.51957573
   0.900    0.960    0.72848202    1.54672762
   0.900    0.961    0.75999193    1.57415198
   0.900    0.962    0.79173884    1.60185000
   0.900    0.963    0.82380070    1.62982290
   0.900    0.964    0.85608486    1.65807190
   0.900    0.965    0.88860014    1.68659822
   0.900    0.966    0.92144013    1.71540308
   0.900    0.967    0.95452049    1.74448771
   0.900    0.968    0.98784326    1.77385332
   0.900    0.969    1.02148713    1.80350115
   0.900    0.970    1.05536529    1.83343244
   0.900    0.971    1.08950360    1.86364840
   0.900    0.972    1.12391361    1.89415028
   0.900    0.973    1.15857273    1.92493931
   0.900    0.974    1.19355500    1.95601673
   0.900    0.975    1.22878741    1.98738379
   0.900    0.976    1.26426441    2.01904173
   0.900    0.977    1.30006791    2.05099179
   0.900    0.978    1.33612561    2.08323522
   0.900    0.979    1.37243514    2.11577327
   0.900    0.980    1.40908110    2.14860720
   0.900    0.981    1.44598509    2.18173825
   0.900    0.982    1.48314863    2.21516769
   0.900    0.983    1.52064776    2.24889678
   0.900    0.984    1.55839178    2.28292678
   0.900    0.985    1.59639397    2.31725894
   0.900    0.986    1.63474475    2.35189455
   0.900    0.987    1.67335382    2.38683486
   0.900    0.988    1.71222022    2.42208114
   0.900    0.989    1.75143384    2.45763467
   0.900    0.990    1.79091267    2.49349672
   0.900    0.991    1.83068417    2.52966858
   0.900    0.992    1.87074842    2.56615151
   0.900    0.993    1.91108583    2.60294680
   0.900    0.994    1.95178910    2.64005574
   0.900    0.995    1.99276182    2.67747961
   0.900    0.996    2.03399453    2.71521969
   0.900    0.997    2.07558454    2.75327729
   0.900    0.998    2.11745072    2.79165369
   0.900    0.999    2.15958763    2.83035018
   0.900    1.000    2.20208490    2.86936806
   0.900    1.001    2.24485793    2.90870864
   0.900    1.002    2.28791788    2.94837321
   0.900    1.003    2.33134291    2.98836308
   0.900    1.004    2.37503525    3.02867956
   0.900    1.005    2.41901565    3.06932394
   0.900    1.006    2.46338015    3.11029755
   0.900    1.007    2.50802464    3.15160170
   0.900    1.008    2.55295208    3.19323769
   0.900    1.009    2.59826227    3.23520685
   0.900    1.010    2.64385730    3.27751050
   0.900    1.011    2.68973507    3.32014995
   0.900    1.012    2.73599097    3.36312654
   0.900    1.013    2.78253803    3.40644158
   0.900    1.014    2.82938038    3.45009641
   0.900    1.015    2.87661098    3.49409235
   0.900    1.016    2.92413595    3.53843075
   0.900    1.017    2.97196360    3.58311293
   0.900    1.018    3.02018540    3.62814023
   0.900    1.019    3.06869472    3.67351398
   0.900    1.020    3.11750041    3.71923555
   0.900    1.021    3.16670724    3.76530625
   0.900    1.022    3.21621215    3.81172745
   0.900    1.023    3.26601998    3.85850049
   0.900    1.024    3.31623614    3.90562672
   0.900    1.025    3.36675243    3.95310749
   0.900    1.026    3.41756821    4.00094416
   0.900    1.027    3.46879756    4.04913809
   0.900    1.028    3.52033906    4.09769063
   0.900    1.029    3.57218815    4.14660314
   0.900    1.030    3.62445806    4.19587700
   0.900    1.031    3.67703897    4.24551356
   0.900    1.032    3.72992296    4.29551420
   0.900    1.033    3.78322789    4.34588028
   0.900    1.034    3.83684880    4.39661318
   0.900    1.035    3.89078570    4.44771427
   0.900    1.036    3.94514992    4.49918494
   0.900    1.037    3.99982967    4.55102655
   0.900    1.038    4.05482411    4.60324049
   0.900    1.039    4.11024907    4.65582815
   0.900    1.040    4.16599594    4.70879091
   0.900    1.041    4.22206928    4.76213016
   0.900    1.042    4.27858622    4.81584729
   0.900    1.043    4.33542613    4.86994370
   0.900    1.044    4.39258613    4.92442077
   0.900    1.045    4.45019029    4.97927990
   0.900    1.046    4.50812324    5.03452251
   0.900    1.047    4.56638710    5.09014997
   0.900    1.048    4.62506331    5.14616371
   0.900    1.049    4.68415031    5.20256513
   0.900    1.050    4.74356708    5.25935563
   0.900    1.051    4.80331210    5.31653663
   0.900    1.052    4.86351237    5.37410953
   0.900    1.053    4.92405097    5.43207576
   0.900    1.054    4.98493019    5.49043673
   0.900    1.055    5.04627098    5.54919387
   0.900    1.056    5.10794997    5.60834858
   0.900    1.057    5.16997160    5.66790230
   0.900    1.058    5.23246497    5.72785646
   0.900    1.059    5.29530182    5.78821247
   0.900    1.060    5.35848227    5.84897178
   0.900    1.061    5.42213811    5.91013582
   0.900    1.062    5.48613242    5.97170601
   0.900    1.063    5.55047107    6.03368381
   0.900    1.064    5.61530285    6.09607064
   0.900    1.065    5.68048364    6.15886795
   0.900    1.066    5.74601003    6.22207718
   0.900    1.067    5.81198211    6.28569979
   0.900    1.068    5.87839542    6.34973721
   0.900    1.069    5.94516512    6.41419090
   0.900    1.070    6.01229238    6.47906232
   0.900    1.071    6.07991101    6.54435291
   0.900    1.072    6.14788404    6.61006414
   0.900    1.073    6.21621375    6.67619747
   0.900    1.074    6.28505323    6.74275435
   0.900    1.075    6.35425946    6.80973625
   0.900    1.076    6.42382293    6.87714464
   0.900    1.077    6.49389492    6.94498099
   0.900    1.078    6.56433096    7.01324677
   0.900    1.079    6.63512107    7.08194344
   0.900    1.080    6.70642859    7.15107250
   0.900    1.081    6.77811609    7.22063540
   0.900    1.082    6.85016706    7.29063365
   0.900    1.083    6.92268713    7.36106870
   0.900    1.084    6.99568469    7.43194206
   0.900    1.085    7.06905673    7.50325520
   0.900    1.086    7.14280035    7.57500962
   0.900    1.087    7.21707225    7.64720681
   0.900    1.088    7.29171988    7.71984826
   0.900    1.089    7.36674298    7.79293546
   0.900    1.090    7.44230134    7.86646991
   0.900    1.091    7.51823978    7.94045312
   0.900    1.092    7.59456136    8.01488659
   0.900    1.093    7.67138461    8.08977181
   0.900    1.094    7.74870057    8.16511030
   0.900    1.095    7.82639480    8.24090357
   0.900    1.096    7.90447106    8.31715312
   0.900    1.097    7.98309631    8.39386048
   0.900    1.098    8.06210016    8.47102715
   0.900    1.099    8.14148161    8.54865465
   0.900    1.100    8.22143555    8.62674451
   0.900    1.101    8.30178319    8.70529824
   0.900    1.102    8.38252222    8.78431737
   0.900    1.103    8.46378197    8.86380344
   0.900    1.104    8.54554119    8.94375795
   0.900    1.105    8.62769977    9.02418246
   0.900    1.106    8.71026576    9.10507849
   0.900    1.107    8.79339801    9.18644757
   0.900    1.108    8.87692841    9.26829126
   0.900    1.109    8.96087194    9.35061107
   0.900    1.110    9.04539974    9.43340857
   0.900    1.111    9.13033386    9.51668528
   0.900    1.112    9.21568049    9.60044277
   0.900    1.113    9.30153847    9.68468258
   0.900    1.114    9.38791601    9.76940625
   0.900    1.115    9.47471848    9.85461536
   0.900    1.116    9.56191199    9.94031144
   0.900    1.117    9.64969083    10.02649605
   0.900    1.118    9.73790016    10.11317077
   0.900    1.119    9.82652161    10.20033715
   0.900    1.120    9.91570007    10.28799676
   0.900    1.121    10.00542642    10.37615115
   0.900    1.122    10.09555662    10.46480191
   0.900    1.123    10.18611931    10.55395061
   0.900    1.124    10.27730739    10.64359881
   0.900    1.125    10.36889851    10.73374810
   0.900    1.126    10.46090932    10.82440005
   0.900    1.127    10.55349380    10.91555624
   0.900    1.128    10.64663879    11.00721826
   0.900    1.129    10.74020527    11.09938769
   0.900    1.130    10.83420757    11.19206611
   0.900    1.131    10.92884472    11.28525513
   0.900    1.132    11.02390641    11.37895632
   0.900    1.133    11.11940675    11.47317129
   0.900    1.134    11.21548625    11.56790162
   0.900    1.135    11.31213303    11.66314893
   0.900    1.136    11.40920239    11.75891480
   0.900    1.137    11.50673022    11.85520085
   0.900    1.138    11.60491837    11.95200867
   0.900    1.139    11.70352611    12.04933987
   0.900    1.140    11.80259088    12.14719607
   0.900    1.141    11.90225022    12.24557888
   0.900    1.142    12.00247939    12.34448990
   0.900    1.143    12.10315683    12.44393076
   0.900    1.144    12.20427105    12.54390308
   0.900    1.145    12.30606609    12.64440847
   0.900    1.146    12.40833813    12.74544856
   0.900    1.147    12.51105376    12.84702498
   0.900    1.148    12.61438567    12.94913935
   0.900    1.149    12.71834206    13.05179330
   0.900    1.150    12.82274097    13.15498846
   0.900    1.151    12.92759477    13.25872648
   0.900    1.152    13.03314309    13.36300897
   0.900    1.153    13.13913625    13.46783759
   0.900    1.154    13.24559954    13.57321398
   0.900    1.155    13.35268605    13.67913977
   0.900    1.156    13.46039249    13.78561662
   0.900    1.157    13.56857118    13.89264617
   0.900    1.158    13.67720560    14.00023007
   0.900    1.159    13.78647773    14.10836998
   0.900    1.160    13.89636694    14.21706754
   0.900    1.161    14.00672633    14.32632442
   0.900    1.162    14.11758662    14.43614227
   0.900    1.163    14.22917447    14.54652276
   0.900    1.164    14.34124190    14.65746754
   0.900    1.165    14.45379382    14.76897829
   0.900    1.166    14.56698757    14.88105668
   0.900    1.167    14.68081670    14.99370436
   0.900    1.168    14.79512491    15.10692303
   0.900    1.169    14.90991652    15.22071434
   0.900    1.170    15.02537332    15.33507998
   0.900    1.171    15.14148735    15.45002162
   0.900    1.172    15.25808784    15.56554095
   0.900    1.173    15.37517671    15.68163966
   0.900    1.174    15.49302361    15.79831942
   0.900    1.175    15.61135594    15.91558193
   0.900    1.176    15.73017237    16.03342887
   0.900    1.177    15.84966491    16.15186194
   0.900    1.178    15.96984284    16.27088284
   0.900    1.179    16.09051718    16.39049326
   0.900    1.180    16.21168227    16.51069489
   0.900    1.181    16.33353804    16.63148945
   0.900    1.182    16.45607041    16.75287864
   0.900    1.183    16.57909567    16.87486415
   0.900    1.184    16.70262628    16.99744771
   0.900    1.185    16.82686724    17.12063102
   0.900    1.186    16.95179706    17.24441579
   0.900    1.187    17.07722712    17.36880374
   0.900    1.188    17.20315738    17.49379659
   0.900    1.189    17.32979089    17.61939605
   0.900    1.190    17.45712891    17.74560386
   0.900    1.191    17.58498036    17.87242172
   0.900    1.192    17.71334155    17.99985137
   0.900    1.193    17.84250929    18.12789454
   0.900    1.194    17.97218625    18.25655296
   0.900    1.195    18.10237594    18.38582836
   0.900    1.196    18.23328981    18.51572248
   0.900    1.197    18.36492062    18.64623705
   0.900    1.198    18.49706854    18.77737382
   0.900    1.199    18.62974221    18.90913452
   0.900    1.200    18.76316243    19.04152090
   0.900    1.201    18.89729764    19.17453471
   0.900    1.202    19.03194570    19.30817769
   0.900    1.203    19.16710904    19.44245161
   0.900    1.204    19.30300936    19.57735820
   0.900    1.205    19.43966502    19.71289923
   0.900    1.206    19.57685012    19.84907645
   0.900    1.207    19.71455912    19.98589163
   0.900    1.208    19.85302987    20.12334653
   0.900    1.209    19.99224537    20.26144290
   0.900    1.210    20.13200226    20.40018253
   0.900    1.211    20.27227847    20.53956717
   0.900    1.212    20.41329635    20.67959860
   0.900    1.213    20.55506354    20.82027859
   0.900    1.214    20.69737108    20.96160892
   0.900    1.215    20.84022831    21.10359137
   0.900    1.216    20.98385633    21.24622771
   0.900    1.217    21.12824903    21.38951973
   0.900    1.218    21.27319038    21.53346922
   0.900    1.219    21.41867478    21.67807796
   0.900    1.220    21.56495409    21.82334774
   0.900    1.221    21.71201606    21.96928035
   0.900    1.222    21.85962057    22.11587758
   0.900    1.223    22.00777763    22.26314124
   0.900    1.224    22.15673835    22.41107312
   0.900    1.225    22.30648381    22.55967502
   0.900    1.226    22.45676446    22.70894875
   0.900    1.227    22.60757739    22.85889610
   0.900    1.228    22.75920002    23.00951889
   0.900    1.229    22.91161207    23.16081893
   0.900    1.230    23.06459727    23.31279802
   0.900    1.231    23.21815269    23.46545799
   0.900    1.232    23.37251084    23.61880064
   0.900    1.233    23.52768859    23.77282781
   0.900    1.234    23.68344381    23.92754130
   0.900    1.235    23.83975436    24.08294294
   0.900    1.236    23.99687890    24.23903456
   0.900    1.237    24.15482239    24.39581798
   0.900    1.238    24.31334630    24.55329504
   0.900    1.239    24.47246276    24.71146756
   0.900    1.240    24.63242256    24.87033739
   0.900    1.241    24.79318827    25.02990635
   0.900    1.242    24.95451963    25.19017629
   0.900    1.243    25.11645123    25.35114904
   0.900    1.244    25.27925673    25.51282646
   0.900    1.245    25.44288863    25.67521038
   0.900    1.246    25.60707900    25.83830266
   0.900    1.247    25.77184937    26.00210515
   0.900    1.248    25.93748888    26.16661969
   0.900    1.249    26.10400037    26.33184814
   0.900    1.250    26.27110105    26.49779236
   0.900    1.251    26.43876073    26.66445421
   0.900    1.252    26.60731835    26.83183555
   0.900    1.253    26.77660311    26.99993824
   0.900    1.254    26.94673386    27.16876416
   0.900    1.255    27.11747266    27.33831516
   0.900    1.256    27.28880650    27.50859311
   0.900    1.257    27.46104602    27.67959990
   0.900    1.258    27.63419545    27.85133740
   0.900    1.259    27.80795808    28.02380747
   0.900    1.260    27.98230424    28.19701201
   0.900    1.261    28.15754547    28.37095290
   0.900    1.262    28.33368986    28.54563201
   0.900    1.263    28.51043986    28.72105123
   0.900    1.264    28.68778453    28.89721246
   0.900    1.265    28.86603126    29.07411759
   0.900    1.266    29.04518855    29.25176850
   0.900    1.267    29.22496675    29.43016709
   0.900    1.268    29.40533652    29.60931526
   0.900    1.269    29.58662991    29.78921492
   0.900    1.270    29.76871048    29.96986795
   0.900    1.271    29.95173107    30.15127627
   0.900    1.272    30.13538590    30.33344178
   0.900    1.273    30.31966135    30.51636639
   0.900    1.274    30.50486457    30.70005202
   0.900    1.275    30.69099902    30.88450057
   0.900    1.276    30.87775993    31.06971397
   0.900    1.277    31.06513192    31.25569412
   0.900    1.278    31.25346527    31.44244295
   0.900    1.279    31.44275819    31.62996239
   0.900    1.280    31.63270397    31.81825435
   0.900    1.281    31.82326633    32.00732076
   0.900    1.282    32.01478088    32.19716356
   0.900    1.283    32.20709288    32.38778467
   0.900    1.284    32.40036445    32.57918602
   0.900    1.285    32.59427525    32.77136957
   0.900    1.286    32.78883247    32.96433723
   0.900    1.287    32.98437724    33.15809095
   0.900    1.288    33.18087481    33.35263269
   0.900    1.289    33.37802428    33.54796437
   0.900    1.290    33.57581944    33.74408794
   0.900    1.291    33.77460408    33.94100537
   0.900    1.292    33.97420958    34.13871859
   0.900    1.293    34.17480967    34.33722957
   0.900    1.294    34.37607059    34.53654025
   0.900    1.295    34.57797362    34.73665260
   0.900    1.296    34.78088611    34.93756858
   0.900    1.297    34.98479504    35.13929015
   0.900    1.298    35.18937445    35.34181928
   0.900    1.299    35.39460485    35.54515793
   1.200    0.900    0.81281222    2.52541368
   1.200    0.901    0.83410417    2.53972271
   1.200    0.902    0.85558608    2.55423981
   1.200    0.903    0.87723503    2.56896611
   1.200    0.904    0.89913252    2.58390271
   1.200    0.905    0.92119470    2.59905072
   1.200    0.906    0.94341902    2.61441125
   1.200    0.907    0.96589002    2.62998543
   1.200    0.908    0.98853728    2.64577438
   1.200    0.909    1.01139163    2.66177921
   1.200    0.910    1.03444846    2.67800105
   1.200    0.911    1.05767651    2.69444102
   1.200    0.912    1.08115656    2.71110026
   1.200    0.913    1.10481298    2.72797988
   1.200    0.914    1.12865109    2.74508103
   1.200    0.915    1.15275352    2.76240483
   1.200    0.916    1.17702949    2.77995242
   1.200    0.917    1.20150893    2.79772494
   1.200    0.918    1.22619539    2.81572353
   1.200    0.919    1.25105913    2.83394933
   1.200    0.920    1.27619157    2.85240348
   1.200    0.921    1.30150994    2.87108713
   1.200    0.922    1.32701620    2.89000144
   1.200    0.923    1.35279162    2.90914753
   1.200    0.924    1.37874907    2.92852658
   1.200    0.925    1.40492464    2.94813974
   1.200    0.926    1.43131982    2.96798815
   1.200    0.927    1.45789998    2.98807298
   1.200    0.928    1.48475021    3.00839539
   1.200    0.929    1.51179853    3.02895654
   1.200    0.930    1.53905242    3.04975760
   1.200    0.931    1.56657371    3.07079973
   1.200    0.932    1.59426819    3.09208410
   1.200    0.933    1.62219043    3.11361188
   1.200    0.934    1.65034954    3.13538425
   1.200    0.935    1.67870016    3.15740238
   1.200    0.936    1.70733052    3.17966744
   1.200    0.937    1.73616822    3.20218061
   1.200    0.938    1.76521353    3.22494308
   1.200    0.939    1.79455131    3.24795603
   1.200    0.940    1.82408865    3.27122064
   1.200    0.941    1.85385609    3.29473811
   1.200    0.942    1.88385145    3.31850961
   1.200    0.943    1.91405610    3.34253634
   1.200    0.944    1.94456720    3.36681949
   1.200    0.945    1.97529274    3.39136026
   1.200    0.946    2.00622254    3.41615985
   1.200    0.947    2.03743717    3.44121945
   1.200    0.948    2.06885931    3.46654027
   1.200    0.949    2.10050163    3.49212351
   1.200    0.950    2.13244376    3.51797037
   1.200    0.951    2.16459472    3.54408207
   1.200    0.952    2.19699757    3.57045980
   1.200    0.953    2.22964845    3.59710479
   1.200    0.954    2.26250795    3.62401825
   1.200    0.955    2.29566760    3.65120139
   1.200    0.956    2.32904495    3.67865542
   1.200    0.957    2.36265005    3.70638158
   1.200    0.958    2.39658939    3.73438108
   1.200    0.959    2.43076337    3.76265514
   1.200    0.960    2.46515461    3.79120499
   1.200    0.961    2.49985115    3.82003186
   1.200    0.962    2.53477741    3.84913698
   1.200    0.963    2.56995631    3.87852158
   1.200    0.964    2.60538232    3.90818689
   1.200    0.965    2.64104851    3.93813415
   1.200    0.966    2.67705250    3.96836459
   1.200    0.967    2.71328592    3.99887946
   1.200    0.968    2.74974624    4.02968001
   1.200    0.969    2.78652932    4.06076746
   1.200    0.970    2.82354549    4.09214307
   1.200    0.971    2.86079529    4.12380809
   1.200    0.972    2.89838428    4.15576376
   1.200    0.973    2.93622504    4.18801135
   1.200    0.974    2.97430162    4.22055209
   1.200    0.975    3.01270809    4.25338726
   1.200    0.976    3.05134983    4.28651810
   1.200    0.977    3.09022997    4.31994588
   1.200    0.978    3.12945290    4.35367185
   1.200    0.979    3.16893048    4.38769729
   1.200    0.980    3.20869367    4.42202346
   1.200    0.981    3.24874010    4.45665162
   1.200    0.982    3.28903667    4.49158305
   1.200    0.983    3.32968282    4.52681902
   1.200    0.984    3.37057154    4.56236081
   1.200    0.985    3.41169878    4.59820968
   1.200    0.986    3.45317981    4.63436692
   1.200    0.987    3.49492225    4.67083381
   1.200    0.988    3.53692634    4.70761163
   1.200    0.989    3.57928380    4.74470167
   1.200    0.990    3.62189193    4.78210520
   1.200    0.991    3.66476126    4.81982353
   1.200    0.992    3.70799533    4.85785793
   1.200    0.993    3.75149321    4.89620970
   1.200    0.994    3.79525085    4.93488014
   1.200    0.995    3.83937791    4.97387054
   1.200    0.996    3.88377869    5.01318220
   1.200    0.997    3.92844550    5.05281642
   1.200    0.998    3.97347486    5.09277450
   1.200    0.999    4.01876562    5.13305775
   1.200    1.000    4.06433100    5.17366748
   1.200    1.001    4.11027508    5.21460498
   1.200    1.002    4.15648381    5.25587157
   1.200    1.003    4.20295842    5.29746857
