#	T	rho	calc	hoef:
   0.300    1.038   -0.36084512   -0.35083823
   0.300    1.039   -0.31132966   -0.30199917
   0.300    1.040   -0.26148092   -0.25279491
   0.300    1.041   -0.21122929   -0.20322406
   0.300    1.042   -0.16058110   -0.15328523
   0.300    1.043   -0.10960516   -0.10297702
   0.300    1.044   -0.05828758   -0.05229802
   0.300    1.045   -0.00652597   -0.00124685
   0.300    1.046    0.04557199    0.05017792
   0.300    1.047    0.09801324    0.10197768
   0.300    1.048    0.15090659    0.15415386
   0.300    1.049    0.20413884    0.20670785
   0.300    1.050    0.25770953    0.25964108
   0.300    1.051    0.31169837    0.31295498
   0.300    1.052    0.36610879    0.36665095
   0.300    1.053    0.42086213    0.42073043
   0.300    1.054    0.47596012    0.47519484
   0.300    1.055    0.53152340    0.53004562
   0.300    1.056    0.58744061    0.58528419
   0.300    1.057    0.64370957    0.64091200
   0.300    1.058    0.70040423    0.69693048
   0.300    1.059    0.75752993    0.75334108
   0.300    1.060    0.81501223    0.81014523
   0.300    1.061    0.87284935    0.86734439
   0.300    1.062    0.93115906    0.92494001
   0.300    1.063    0.98982622    0.98293354
   0.300    1.064    1.04885598    1.04132643
   0.300    1.065    1.10832819    1.10012015
   0.300    1.066    1.16824085    1.15931615
   0.300    1.067    1.22851611    1.21891590
   0.300    1.068    1.28915710    1.27892086
   0.300    1.069    1.35028766    1.33933252
   0.300    1.070    1.41178132    1.40015233
   0.300    1.071    1.47364144    1.46138177
   0.300    1.072    1.53595715    1.52302233
   0.300    1.073    1.59872708    1.58507548
   0.300    1.074    1.66186722    1.64754271
   0.300    1.075    1.72538053    1.71042551
   0.300    1.076    1.78935557    1.77372535
   0.300    1.077    1.85378954    1.83744375
   0.300    1.078    1.91859759    1.90158218
   0.300    1.079    1.98378323    1.96614216
   0.300    1.080    2.04948032    2.03112517
   0.300    1.081    2.11555429    2.09653273
   0.300    1.082    2.18200840    2.16236634
   0.300    1.083    2.24893667    2.22862751
   0.300    1.084    2.31633672    2.29531776
   0.300    1.085    2.38411757    2.36243859
   0.300    1.086    2.45228529    2.42999153
   0.300    1.087    2.52093694    2.49797809
   0.300    1.088    2.59006707    2.56639980
   0.300    1.089    2.65958469    2.63525819
   0.300    1.090    2.72948698    2.70455479
   0.300    1.091    2.79991874    2.77429112
   0.300    1.092    2.87074288    2.84446873
   0.300    1.093    2.94196353    2.91508915
