
# T     rho         Vsv1            Vsv2            Vsv3            Vsv4            Vsv5            Vsv6            :
  0.02  1.08724898  1.17953692E+170  2.62056875E+177  2.80768241E+179  9.55529676E+179  1.49004920E+180  1.81583001E+180
  0.03  1.08580123  1.18696637E+112  9.16329872E+116  2.05348732E+118  4.63726734E+118  6.23142751E+118  7.10714825E+118
  0.04  1.08435015  1.35366867E+83  6.15962757E+86  6.31298169E+87  1.16128997E+88  1.44860598E+88  1.59835996E+88
  0.05  1.08289605  6.29495569E+65  5.23898780E+68  3.35790701E+69  5.46180049E+69  6.51561986E+69  7.04773989E+69
  0.06  1.08143724  1.84555002E+54  4.94846153E+56  2.31943097E+57  3.47553449E+57  4.02452553E+57  4.29591024E+57
  0.07  1.07997594  1.10705960E+46  1.32167646E+48  4.95400496E+48  7.00081247E+48  7.93611583E+48  8.39148356E+48
  0.08  1.07851007  7.75470997E+39  5.04623756E+41  1.59950669E+42  2.16317291E+42  2.41337821E+42  2.53380801E+42
  0.09  1.07704137  1.29394768E+35  5.25167733E+36  1.46110975E+37  1.90960008E+37  2.10421475E+37  2.19705482E+37
  0.10  1.07556733  1.98255163E+31  5.51522326E+32  1.38241430E+33  1.75800705E+33  1.91804497E+33  1.99384557E+33
  0.11  1.07409003  1.52118538E+28  3.10670747E+29  7.14994388E+29  8.89133628E+29  9.62230644E+29  9.96649659E+29
  0.12  1.07260815  3.90328151E+25  6.16096993E+26  1.32055169E+27  1.61183659E+27  1.73258536E+27  1.78916369E+27
  0.13  1.07112314  2.53252217E+23  3.21430443E+24  6.48708510E+24  7.79403143E+24  8.33008185E+24  8.58021141E+24
  0.14  1.06963241  3.40362941E+21  3.58343164E+22  6.86832205E+22  8.14120363E+22  8.65853150E+22  8.89906258E+22
  0.15  1.06813825  8.18620604E+19  7.32977867E+20  1.34344066E+21  1.57385572E+21  1.66676040E+21  1.70982220E+21
  0.16  1.06663946  3.15819252E+18  2.45385527E+19  4.32493170E+19  5.01499199E+19  5.29129443E+19  5.41901304E+19
  0.17  1.06513579  1.79716150E+17  1.23212712E+18  2.09790966E+18  2.41071656E+18  2.53519475E+18  2.59259499E+18
  0.18  1.06362730  1.41356338E+16  8.67036133E+16  1.43164281E+17  1.63192031E+17  1.71118121E+17  1.74765189E+17
  0.19  1.06211514  1.45970649E+15  8.10472713E+15  1.30198154E+16  1.47347142E+16  1.54100508E+16  1.57201962E+16
  0.20  1.06059648  1.89946575E+14  9.64202584E+14  1.51110648E+15  1.69909190E+15  1.77279221E+15  1.80657970E+15
