# Gibbs free energy of vacnacy formation, using vacancies up to 6 layers
# The solid-gas coexistence line is calculated using Vs' = 0.
#
#	T	rho		dg		dg2		dg3		dg4		dg5		dg6:
	0.02	1.08724898e+00	5.69473371e+00	6.51213675e+00	7.53816258e+00	7.75723880e+00	7.98212790e+00	8.02545357e+00
	0.03	1.08580123e+00	5.68269788e+00	6.49830057e+00	7.52186887e+00	7.74040213e+00	7.96472294e+00	8.00793759e+00
	0.04	1.08435015e+00	5.67061610e+00	6.48441540e+00	7.50552277e+00	7.72351242e+00	7.94726425e+00	7.99036775e+00
	0.05	1.08289605e+00	5.65846762e+00	6.47046094e+00	7.48910464e+00	7.70655011e+00	7.92973244e+00	7.97272469e+00
	0.06	1.08143724e+00	5.64622296e+00	6.45640540e+00	7.47257959e+00	7.68947969e+00	7.91209128e+00	7.95497205e+00
	0.07	1.07997594e+00	5.63392507e+00	6.44229487e+00	7.45599785e+00	7.67235225e+00	7.89439281e+00	7.93716204e+00
	0.08	1.07851007e+00	5.62159729e+00	6.42814983e+00	7.43937613e+00	7.65518369e+00	7.87665207e+00	7.91930955e+00
	0.09	1.07704137e+00	5.60917585e+00	6.41390896e+00	7.42265632e+00	7.63791661e+00	7.85881239e+00	7.90135804e+00
	0.1	1.07556733e+00	5.59667113e+00	6.39957919e+00	7.40584082e+00	7.62055241e+00	7.84087414e+00	7.88330767e+00
	0.11	1.07409003e+00	5.58415008e+00	6.38523040e+00	7.38900333e+00	7.60316564e+00	7.82291273e+00	7.86523404e+00
	0.12	1.07260815e+00	5.57145857e+00	6.37070663e+00	7.37198553e+00	7.58559744e+00	7.80476878e+00	7.84697766e+00
	0.13	1.07112314e+00	5.55875609e+00	6.35616945e+00	7.35495169e+00	7.56801269e+00	7.78660776e+00	7.82870410e+00
	0.14	1.06963241e+00	5.54597228e+00	6.34154495e+00	7.33782320e+00	7.55033175e+00	7.76834899e+00	7.81033250e+00
	0.15	1.06813825e+00	5.53320209e+00	6.32693125e+00	7.32070241e+00	7.53265787e+00	7.75009666e+00	7.79196721e+00
	0.16	1.06663946e+00	5.52023402e+00	6.31211526e+00	7.30337409e+00	7.51477539e+00	7.73163461e+00	7.77339201e+00
	0.17	1.06513579e+00	5.50729928e+00	6.29732788e+00	7.28606873e+00	7.49691468e+00	7.71319316e+00	7.75483717e+00
	0.18	1.06362730e+00	5.49414364e+00	6.28231499e+00	7.26853235e+00	7.47882182e+00	7.69451839e+00	7.73604878e+00
	0.19	1.06211514e+00	5.48102580e+00	6.26733689e+00	7.25102739e+00	7.46075968e+00	7.67587366e+00	7.71729031e+00
	0.2	1.06059648e+00	5.46782860e+00	6.25227261e+00	7.23342781e+00	7.44260114e+00	7.65713071e+00	7.69843327e+00
	0.21	1.05907379e+00	5.45453710e+00	6.23711061e+00	7.21572659e+00	7.42434016e+00	7.63828450e+00	7.67947281e+00
